Species,Site_1,Site_2,Site_3,Site_4,Site_5,Site_6,Site_7,Site_8,Site_9,,Species,Plantation,Open Heathland,Ancient Caledonian,,,,P1,P2,P3,,O1,O2,O3,,C1,C2,C3,,,Plantation,Open,Cale
Acanthis cabaret_Lesser Redpoll,0,0,1,0,0,0,1,1,1,,Acanthis cabaret_Lesser Redpoll,,,,,,,0,0,0,,0,1,0,,1,1,1,,,0,1,1
Acanthis flammea_Common Redpoll,0,0,0,0,0,0,1,0,1,,Acanthis flammea_Common Redpoll,,,,,,,0,0,0,,0,0,0,,1,0,1,,,0,0,1
Accipiter gentilis_Northern Goshawk,1,0,0,0,0,0,0,0,0,,Accipiter gentilis_Northern Goshawk,,,,,,,1,0,0,,0,0,0,,0,0,0,,,1,0,0
Accipiter nisus_Eurasian Sparrowhawk,0,0,0,0,0,0,0,0,0,,Accipiter nisus_Eurasian Sparrowhawk,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Acrocephalus schoenobaenus_Sedge Warbler,0,0,0,0,0,0,0,0,0,,Acrocephalus schoenobaenus_Sedge Warbler,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Acrocephalus scirpaceus_Eurasian Reed Warbler,0,0,0,0,0,0,0,0,0,,Acrocephalus scirpaceus_Eurasian Reed Warbler,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Actitis hypoleucos_Common Sandpiper,0,1,0,0,0,0,0,0,0,,Actitis hypoleucos_Common Sandpiper,,,,,,,0,0,0,,1,0,0,,0,0,0,,,0,1,0
Aegithalos caudatus_Long-tailed Tit,0,0,1,0,0,0,0,0,0,,Aegithalos caudatus_Long-tailed Tit,,,,,,,0,0,0,,0,1,0,,0,0,0,,,0,1,0
Alauda arvensis_Eurasian Skylark,0,0,0,0,0,0,0,0,0,,Alauda arvensis_Eurasian Skylark,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Alca torda_Razorbill,0,0,0,0,0,0,0,0,0,,Alca torda_Razorbill,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Alcedo atthis_Common Kingfisher,0,0,0,0,0,0,0,0,0,,Alcedo atthis_Common Kingfisher,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Alectoris rufa_Red-legged Partridge,0,0,0,0,0,0,0,0,0,,Alectoris rufa_Red-legged Partridge,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Anas acuta_Northern Pintail,0,0,0,0,0,0,0,0,0,,Anas acuta_Northern Pintail,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
